Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
201506,-7.59,-0.79,-2.34,-1.71,-2.57,0.46,1.47,0.12,-0.11,4.17,5.14,-0.15,-0.23,-2.8,-0.5,4.09,-1.8,2.95,-5.25,6.8,-1.4,-3.45,-2.36,-2.37,-9.17,-0.86,-13.31,-4.85,-23.5,-3.74,-5.37,-0.51,-3.69,-1.84,-4.58,-5.91,-0.61,-2.75,-3.34,-3.25,-2.66,-0.5,0.29,1.67,2.17,-2.99,-0.63,-3.83
201507,-2.72,3.55,6.67,3.51,9.59,-3.77,8.03,-2.97,0.71,5.96,1.65,4.9,3.58,-4.92,1.3,-0.72,1.6,0.68,-8.21,-19.29,-5.95,-4.29,-3.11,-1.93,5.11,9.16,-26.27,-10.67,-26.3,-8.95,2.61,1.41,2.25,5.26,2.89,-2.72,0.95,-0.49,-0.9,3.27,-1.28,5.84,4.17,2.72,1.65,1.52,-0.21,2.85
201508,-4.59,-4.22,-4.57,-3.12,-4.06,-4.83,-7.79,-8.76,-6.94,-3.86,-6.41,-5.37,-9.02,-7.22,-5.84,-3.11,-1.92,-2.56,-4.41,-4.55,-3.78,-8.97,-6.1,-5.08,-4.97,-1.69,-0.22,-1.67,7.86,-3.69,-4.01,-8.42,-1.28,-5.4,-8.2,-5.53,-7.6,-5.98,-3.58,-6.37,-4.27,-5.42,-6.48,-6.35,-5.58,-11.08,-8.48,-5.49
201509,-11.16,-1.73,2.15,2.58,2.37,-5.42,-10.75,-5.65,-0.53,1.18,-9.8,-5.85,-7.38,-8.29,-4.27,-5.92,-7.92,-5.02,-10.59,-21.15,-9.06,-8.8,-2.53,-2.04,-9.94,1.45,-5.7,-6.13,-36.74,-5.66,-0.56,-2.61,-1.53,-1.48,-2.35,-0.82,-4.79,-2.33,-4.97,-0.71,-6,-1.72,0.44,-3.24,-1.99,-3.06,-4.82,-2.04
201510,8.63,5.44,5.77,8.06,10.9,11.86,15.14,12.44,5.81,0.98,-4.3,6.54,8.81,16.63,5.75,7.96,8.09,2.66,5.9,-6.4,8.73,7.98,6.04,9.42,7.49,6.41,18.08,7.38,-30.98,12.54,2.07,8.85,4.41,11.42,5.87,8.88,7.56,10.25,9.78,6.48,5.17,4.53,5.05,5.6,5.23,10.61,7.83,7.1
201511,1.87,-1.59,2.36,-0.71,-3,-2.23,-0.08,-0.06,-1.1,-1.08,0.83,2.47,0.38,1.67,2.14,-2.59,3.11,6.33,-0.89,12.87,2.19,1.52,1.94,-0.52,1.31,0.01,-5.53,-6.15,10.12,1.06,-3.45,-1.92,-3.96,2.11,-3.03,0.23,5.24,0.02,-0.32,-1.1,2.7,0.59,-1.01,3.05,-0.25,-1.16,3.26,0
201512,2.07,2.98,0.42,0.31,1.6,-2.41,-1.55,-5.94,1.87,-4.37,-2.43,0.36,0.56,-4.79,2.76,-2.64,-4.24,-6.31,-2.65,-14.67,-6.07,-0.36,-4.13,-1.34,-8.83,-0.33,-1.96,-7.24,-7.34,-9.76,-2.36,-3.02,-6.66,-1.07,-2.82,-5.9,0.03,-3.9,-2.51,-5.01,-1.78,0.83,-0.94,-3.14,-0.8,-6.17,-5.28,0.29
201601,-6.73,-1.13,-1.33,-0.22,4.29,-1.78,-9.28,-5.66,0.17,1.53,-4.76,-4.03,-10.73,-11.08,-7.71,-5.32,-7.17,-10.2,-9.65,-7.37,-4.77,-8.2,-13.23,-9.89,-6.32,-2.18,9.42,-8.04,-3.31,-4.64,4.62,-0.36,-9.08,-5,-11.44,-7.03,-6.79,-4.45,-11.1,-8.52,-8.34,-4.47,-0.93,-10.74,-5.99,-13.86,-11.03,-3.14
201602,-0.47,2.02,-0.33,-2.32,0.95,8.15,3.51,-1.57,0.36,0.83,-2.86,1.35,-1.44,6.87,2.18,0.65,3.8,0.22,7.37,18.46,5.34,3.65,4.07,3.83,-1.04,2.95,31.7,8.01,6.28,-2.96,1.72,1.17,-2.81,-2.42,5.19,0.62,0.16,3.2,1.57,6.91,4.19,-0.43,1.05,-4.45,0.29,-4.85,-1.92,2.68
201603,-0.98,3.85,7.21,5.63,5.06,6.97,8.97,6.74,4.67,2.32,8.93,3.79,2.35,8.33,12.34,3.6,10.87,12.09,17.74,9.62,9.7,9.05,10.59,3.73,9.05,2.84,4.46,15.67,25.47,10.87,7.92,6.02,3,7.88,8,9.33,9.05,7.83,11.13,6.88,6.29,5.99,5.38,6.28,7.09,11.71,6.95,6.81
201604,7.17,1.24,-1.53,0.32,-0.24,-3.53,-6.84,1.25,-0.41,-2.26,5.95,6.31,2.8,3.77,0.16,1.56,1.8,-0.99,9.86,16.95,3.46,2.34,1.6,5.09,5.5,3.45,33.91,11.43,29.73,9.09,-0.78,0.6,-3.85,-2.49,-1.44,-7.89,-0.75,0.53,2.92,-1.07,0.3,-0.34,-2.37,5.86,1.14,-1.35,2.43,0.49
201605,16.6,1.29,0.04,-0.9,0.84,3.34,5.86,-1.21,-0.08,-4.95,-0.92,1.95,2.83,-1.42,2.38,-1.69,3.72,3.13,-8.49,-4.78,0.16,-0.99,-2.49,-1.77,-2.23,2.59,-7.56,-4.41,1.55,-0.95,2.24,0.3,3.58,4.7,4.56,6.48,3.8,1.82,1.62,-2.17,1.64,1.22,-1.47,1.93,2.05,-0.69,3.49,-2.44
201606,-6.59,7.47,3.46,5.33,6.89,-3.09,-4.67,-1.36,3.18,1.65,-0.42,5.09,-0.92,-1.1,0.72,-4.65,-2.32,0.01,2.56,-4.46,-0.8,-0.19,-6.98,0.82,0.37,4.36,23.78,3.58,5.24,2.65,7.37,3.12,1.01,-2.14,-2.3,-1.43,-1.17,2.36,0.02,-2.51,1.6,0.76,1.18,-7.17,-0.26,-5.6,-6.83,3.6
201607,3.62,0.22,-2.89,1.84,-2.77,4.73,6.45,7.78,2.6,1.84,2.41,4.15,6.73,4.33,4.96,9.73,6.29,4.93,13.59,5.96,6.53,5.37,8.85,4.06,5.15,2.32,16.04,4.47,20.94,-2.87,-0.22,2.29,5.07,7.32,8.66,8.8,5.23,2.07,4.92,5.41,3.4,3.85,2.2,4.84,0.59,5.69,7.18,-0.5
201608,-0.09,-0.13,-1.4,-0.88,-1.2,1.58,0.84,0.29,1.26,1.32,-6.86,-0.09,-3.69,2.49,3.9,1.65,1.21,0.35,-7.52,4.21,3.85,1.37,-0.3,0.11,3.06,-4.53,-13.82,-8.17,-4.52,1.43,-3.92,-3.55,-4.15,1.27,3.04,3.02,-0.21,1.68,6.43,1.11,-0.94,-1.69,-0.21,6.21,1.97,1.12,5.31,2.73
201609,-4.08,-3.08,-2.22,1.65,-2.76,-3.99,6.37,-3.64,0.02,-6.81,2.18,1.04,0.05,-1.73,-2.86,-4.84,-2.58,-2.17,2.44,-0.31,2.6,1,-0.23,-0.61,-0.29,-1.17,2.64,1.98,7.68,2.94,1.75,0.54,-0.39,0.79,3.67,4.65,2.97,-1.52,3.14,2.88,-2.56,-0.14,-2.24,-2.19,0.27,-3.27,-1.19,-3.66
201610,-2.01,-0.12,-0.3,-1.63,4.61,0.81,6.47,-8.22,-2.94,-5.4,-6.65,-7.39,-7.51,-1.91,-4.58,-7.35,-3.77,-4.06,-2.98,-1.77,-4.12,-4.97,-3.27,2.63,-3.09,1.83,-5.44,3.13,-8.67,-2.93,-0.61,-2.83,-0.94,-0.56,-2.44,-1.11,-6.51,-5.86,-3.92,-0.62,-8.07,-3.55,-1.92,3.29,-0.98,-6.48,-0.84,-0.6
201611,2.11,-5.33,-3.94,-5.75,-5.11,8.98,3.02,8.33,-4.17,1.27,1.03,-3.52,2.63,7.57,6.76,7.97,10.66,8.76,21.36,7.97,12.53,8.58,6.9,8.35,15.06,8.22,-11.35,19.45,20.79,9.52,-2.84,6.26,11.3,-0.29,1.8,2.53,3.28,4.36,3.66,12.76,9.77,2.88,8.5,13.32,10.54,8.62,15.17,8.28
201612,3.31,5.52,2.5,3.03,5.42,-7.35,-2.61,2.68,1.46,-0.71,0.81,1.93,0.6,0.36,1.06,1.69,0.1,0.29,-2.26,2.6,-0.16,-0.37,4.19,1.43,1.4,-5.38,2.27,-2.8,-9.65,2.25,3.64,4.68,2.86,-0.19,-0.23,2.96,1.27,2.56,-0.78,0.87,2.23,-0.95,0.61,4.82,1.7,4.64,3.45,3.21
201701,5.6,1.02,-0.26,-0.98,5.65,0.38,5.66,1.67,2.76,0.44,4.21,5.88,1.24,3.84,2.57,5.6,3.11,4.83,3.7,3.58,4.7,4.39,5.22,1.91,2.96,-0.06,10.47,12.92,-5.32,-4.33,1.09,3.4,3.26,5.65,3.33,2.75,6.2,1.66,4.99,1.74,1.92,0.92,0.74,0.3,0.88,-0.2,1.37,-0.92
201702,3.96,1.9,0.81,6.17,7.97,6.05,-0.18,-0.2,4.87,3,7.3,4.64,7.67,3.13,-0.08,4.01,2.06,2.34,9.19,7.19,2.19,2.18,0.85,6.73,1.7,5.57,-8.11,-8.49,-9.39,-2.33,4.02,-0.07,0.16,3.34,7.5,7.1,4.98,4.05,0.06,2.6,2.68,2.85,2.41,5.22,3.54,8.67,3.79,3.65
201703,-0.43,-0.85,3.94,0.92,1.06,1.95,6.32,1.22,-0.33,0.48,-0.78,1.88,-0.58,2.19,0.39,1.29,1.71,3.53,-6.14,0.35,1.44,1.3,-0.53,-1.63,-4.16,0.84,-4.34,-1.78,5.53,-1.24,0.32,0.83,2.1,1.78,0.62,3.46,0.99,0.63,-1.09,-2.77,-1.08,0.82,2.76,-2.87,-0.93,-0.05,-1.97,-2.02
201704,3.08,0.58,0.68,1.94,-0.09,-4.23,3.66,-1.53,-0.31,-0.95,-1.37,4.65,0.42,1.33,6.33,2.59,1.16,0.14,-0.5,3.77,3.88,0.13,1.69,4.72,3.11,1.04,2.64,-2.17,-11.86,-2.79,0.36,-0.12,1.76,3.93,2.01,-0.27,6.21,1.65,4.02,2.19,-3.34,3.4,4.35,-0.64,2.38,5.17,-0.22,-1.27
201705,0.45,-0.15,5.84,4.34,6.18,4.55,2.67,-1.61,1.83,-2.22,-2.09,2.05,-0.92,-0.56,3.45,1.75,-2.09,-2.97,-4.6,-2.22,3.08,-0.77,-0.65,3.04,-2.16,4.64,0.83,-1.6,-5.09,-3.47,2.58,-1.92,-2.57,3.8,-0.84,6.51,3.71,2.63,2.77,2.74,2.37,0.54,7,-2.01,1.6,0.65,-1.33,-1.2
201706,1.03,-4.07,-0.74,-1.14,-0.94,1.74,-0.36,3,-0.13,9.55,6.95,4.13,5.83,1.99,0.7,1.57,2.48,5.86,-0.22,-0.47,-0.25,1.66,3.5,1.64,4.43,-1.21,-5.26,0.78,2.29,-0.19,-1.89,-2.27,4.9,-0.71,-2.59,-4.35,-0.63,1.48,3.71,3.44,0.23,-2.41,-2.48,6.65,3.49,3.38,6.37,1.6
201707,-0.82,1.35,2.64,1.25,-5.99,-5.01,6.31,2.88,1.89,1.22,-5.61,-1.26,1.41,1.09,-4.24,2.21,0.61,-0.05,1.31,6.07,3.1,0.12,-0.89,7.87,-3.05,4.79,11.94,7.76,12.9,2.02,2.99,5.3,0.29,3.98,2.17,3.85,1.72,-2.7,-1.11,-4.43,-0.89,0.98,-2.57,1.15,2.96,1.89,3.21,1.37
201708,0.17,-4.71,0.34,1.03,-0.87,-9.67,-0.8,-5.42,0.29,-5.21,-2.37,-0.6,2.65,1.61,-1.79,1.25,-1.07,0.16,1.65,2.98,-1.71,-3.73,1.84,2.12,0.38,4.6,2.53,0.38,-0.39,-5.23,2.21,-2.56,2.63,1.39,2.54,5.72,4.42,1.12,-0.3,0.69,-4.29,-1.76,1.37,-1.36,-0.45,-2.35,-1.91,1.44
201709,2.63,0.79,-0.4,-2.91,-2.04,-0.22,4.16,3,-0.09,1.12,-1.72,0.36,1.97,6.68,6.54,0.13,7.8,7.25,3.72,5.99,9.08,5.94,7.61,2.51,7.88,3.29,-2.52,-1.8,1.29,11.26,-1.96,-1.68,3.24,0.6,3.73,-0.38,3.24,2.68,2.02,6.32,4.65,2.76,0.87,6.21,2.08,3.01,6.53,0.79
201710,1.7,0.24,1.58,1.33,-2.81,-5.34,2.81,-1.87,-2.79,3.01,-3.64,3.93,-3.62,5.63,2.63,5.41,2.76,9.29,2.23,5.26,5.58,4.58,2.23,1.88,2.24,-0.39,-4.72,3.1,2.2,0.22,3.1,-5.74,0.16,6.22,1.98,8.94,4.56,4.69,3.2,-1.88,-0.84,3.3,3.72,3.27,4.26,2.87,1.92,-1.25
201711,-1.56,6.33,1.85,4.41,1.42,7.28,3.01,11.7,4.89,7.44,3.57,3.91,1.89,2.23,2.49,7.56,5.5,9,-1.38,3.95,2.21,0,0.64,4.13,3.45,3.3,0.43,0.08,8.98,2.89,2.41,3.72,1.42,0.06,4.48,2.3,1.52,5.6,-0.49,6.71,3.72,9.42,5.47,2.94,4.75,4.8,5.66,1.55
201712,-1.86,-0.16,0.65,4.4,4.96,-5.67,1.47,1.43,2.39,4.58,3.13,-3.41,0.37,0.58,-1.31,-2.23,2.22,0.81,13.19,-2.45,2.5,2.93,-1.24,4.08,1.55,0.5,2.04,13.87,11.85,5.04,-5.01,4.59,1.28,0.47,1.05,-1.33,-2.01,-0.83,-0.95,2.84,4.3,2.54,1.24,1.89,-1.72,0.17,2.01,1.34
201801,4.3,0.28,5.73,-0.11,0.13,3.78,18.44,5.21,-1.98,7.29,8.2,9.25,5.57,1.7,0.32,1.6,1.06,-1.3,3.61,4.1,3.86,3.24,3.45,13.38,-1.33,8.85,6.76,2.86,0.89,2.85,-2.81,3.18,5.27,9.29,7.99,3.68,8.07,4.71,3.1,2.68,4.83,11.56,3.23,7.33,4.02,4.65,5.02,5.34
201802,1.2,-6.75,-8.38,-6.76,-6.62,0.7,1.12,-3.5,-6.25,-1.95,-2.05,-3.52,-4.12,-5.12,-8.42,-12.35,-9.54,-10.35,-1.99,0.37,-4.25,-5.19,-6.3,-0.16,2.97,0.05,-5.8,-2.79,5.96,-11.04,-4.52,-7.32,-4.01,-1.66,3.82,2.72,-4.23,-5.66,-3.76,-6.65,-5.56,-4.72,-4.19,-2.13,-4.28,-2.85,-1.45,-4.71
201803,-4.92,-2.31,-0.43,1.27,-1.65,-9.23,0.52,-0.19,2.1,0.64,-1.32,0.46,-2.67,-1.86,1.66,-2.14,-0.71,1.87,-5.86,2.39,-1.18,-1.25,-6.58,-6.16,-0.82,-3.14,2.77,-0.8,-6.57,3.1,3.21,-2.52,2.58,-3.38,-3,-3.28,-0.72,-5.07,-1.54,0.53,-1.04,-3.25,-0.54,-4.61,-1.98,2.97,-1.37,-3.51
201804,7.99,-3.51,-0.77,-4.29,-14.16,6.42,3.09,-0.46,-5.31,3.16,0.05,2.3,-0.98,0.72,0.27,-9.54,-5.16,-0.87,3.66,4.08,-5.62,-6.29,0.12,-1.78,-0.52,-4.17,0.57,-4.31,-2.46,10.31,2.77,-2.42,0.72,1.2,2.38,-2.93,-3.47,-7.35,-1.39,0.5,0.83,4.29,3.5,1.12,3.28,-1.73,-1.52,-1.75
201805,1.93,-0.86,-1.31,-1.19,-1.87,0.81,9.61,0.7,-0.24,4.21,7.77,6.14,1.06,2.42,-1.13,-1.36,4.36,-0.55,5.62,2.97,2.97,6.86,3.63,4.53,2.96,0.4,-0.07,3.85,11.8,3.44,0.21,-0.93,0.04,5.93,-0.24,10.91,4.05,1.89,-3.09,4.86,1.69,1.36,-1.95,1.09,-1.13,-1.78,0.4,-0.44
201806,-3.07,6.07,4.44,4.42,3.07,5.68,4.91,2.33,3.62,6.98,1.53,1.84,1.43,0.33,0.58,3.36,-1.16,-1.87,-5.14,-4.97,-5,-1.75,0.53,-3.2,-0.27,-5.66,-3.29,-1.42,4.13,0.53,2.61,6.23,1.32,1.06,1.07,-3.08,0.33,0.12,-2.51,-3.65,0.23,4.36,-2.89,-0.86,0.24,-0.98,-3.29,-1.78
201807,0.4,0.2,5.9,3.5,5.24,4.45,-6.9,-4.54,1.96,0.37,7.57,3.03,6.85,4.85,5.78,-8.89,5.17,-0.27,4.24,13.49,6.3,10.09,-3.07,7.17,8.88,9.86,-3.07,-2.06,-2.76,1.02,1.73,2.7,4.97,1.9,0.09,2.31,8.97,6.52,3.9,7.89,2.39,3.55,1.16,4.38,5.2,2.89,2.49,5.9
201808,-3.89,1.14,-3.08,-1.86,-5.43,7.38,2.47,-4.59,2.6,5.25,5.65,6.06,3.94,0.01,0.43,3.8,0.3,0.72,-3.23,-0.82,-1.95,0.57,-1.74,-2.39,1.16,-0.29,-15.31,-9.72,-0.51,-2.9,0.91,2.94,0.91,5.34,10.65,10.88,3.98,-0.27,-0.62,2.91,3.66,9.16,3.64,2.77,3.51,-4.03,0.03,3.3
201809,-5.72,-2.2,3.1,0.19,5.37,7.17,-0.73,-2.05,1.19,1.29,-0.33,3.65,1.7,-2.87,1.87,-6.38,-1.33,-4.9,-0.67,2.36,0.87,0.94,-5.02,6.72,2.46,7.2,-2.4,-1.58,-5.38,3.55,-0.55,1.75,-2.03,-0.41,0.06,-0.54,0.51,-0.88,1.89,1.04,-1.48,0.61,2.51,-2.82,1.13,-4.86,-3.4,0.75
201810,-3.85,0.94,1.18,-1.57,7.9,-15.04,-16.04,-5.63,-0.77,-10.13,-6.6,-11.51,-8.23,-12.5,-11.58,-25.79,-16.21,-9.39,-11.62,-10.58,-13.82,-13.65,0.87,-8.87,-16.96,-14.46,0.51,-12.59,1.47,-12.1,-0.06,-0.53,-4.17,-9.29,-8.06,-7.76,-9.75,-9.49,-11,-9.77,-7.88,-10.26,-1.71,-6.13,-4.13,-12.21,-4.56,-5.04
201811,-6.86,0.3,6.84,5.79,-8.43,-7.15,-0.03,3.83,6.33,-1,3.49,5.42,6.73,4.96,6.42,2.92,5.08,1.99,-3,-4.37,7.15,5.16,3.76,0.36,7.37,1.41,2.48,-1.78,-14.14,-2.36,3.27,2.53,4.03,1.24,0.75,-8.59,6.26,7.67,10.21,6.15,3.18,1.59,6.15,2.92,4.29,6.82,0.09,3.61
201812,-13.07,-10.92,-7.83,-9.69,-15.8,-16.35,-7.47,-14.36,-5.69,-7.31,-15.36,-8.02,-8.05,-7.76,-8.86,-10.09,-12.19,-9.7,-14.78,-3.16,-9.83,-11.57,-11.3,-10.18,-18.24,-11.78,7.19,-10.66,-2.07,-13.27,-4.75,-8.86,-11.71,-7.62,-9.58,-8.91,-10.28,-7.53,-12.48,-15.19,-11.21,-9.2,-6.28,-12.78,-9.85,-12.18,-8.76,-6.5
201901,14.3,8.44,3.77,3.53,7.85,16.71,19.03,13.23,6.41,12.31,11.27,6.82,4.13,5.52,7.01,9.71,13.13,13.19,17.11,10.41,11.36,11.23,9.82,15.54,6.41,10.35,0.09,9.97,13.9,10.45,5.41,5.69,4.75,11.1,9.95,6.3,9.67,6.89,12.93,9.88,8.83,8.84,4.8,10.46,8.65,15.73,8.06,4.53
201902,-0.28,-3.33,-3.51,2.46,10.2,10.62,3.47,3.98,5.15,5.51,1.37,3.48,3.04,3.92,4.24,6.84,5.84,2.11,2.27,14.54,3.87,5.43,2.66,10.3,3.06,6.83,-0.86,8.63,-3.81,2.44,3.62,3.32,5.25,4.54,7.84,6.8,7.75,3.51,1.46,4.19,4.53,-0.08,4.64,4.49,-0.51,5.6,2.77,-0.49
201903,1.46,5.58,1.2,4.87,6.45,-3.2,0.19,-5.3,4.38,-0.31,-3.53,2.02,0.49,-1.48,2.39,-7.76,-1.83,2.88,-4.65,-1.76,0.4,-1.94,-6.01,-6.82,-3.62,-3.15,3.08,5.99,-1.37,2.04,3.32,0.3,-0.83,3.09,2.17,5.27,2.94,0.73,3.85,-0.36,-1.52,3.86,3.84,-2.63,-1.13,-3.7,-2.96,0.16
201904,0.14,2.75,5.29,6.56,-3.56,7.79,5.93,1.56,3.35,4.89,0.38,-3.44,-3.16,5.51,6.73,6.78,6.68,8.04,-2.64,-0.5,6.4,5.21,4.32,3.5,4.07,10.58,-10.51,0.73,2.98,0.06,1.02,6.34,3.24,6.34,5.01,6.3,2.45,-3.46,2.81,4.66,3.91,4.92,4.05,8.63,2.35,4.88,9.08,6.92
201905,-4.81,-5.11,0.28,-3.96,-10.29,1.75,-9.31,-9.15,-4.05,-11.01,-4.86,-1.6,-3.9,-12.91,-9.74,-2.39,-9.31,-5.03,-15.46,-10.79,-11.66,-10.76,-14.42,-8.8,-11.5,2.25,2.98,-10.9,-11.14,-11.91,-1.54,-3.05,-2.41,-5.95,-9.34,-13.29,-7.61,-10.46,-5.03,-9.41,-5.94,-7.03,-2.03,-7.27,0.49,-13.37,-7,-7.67
201906,10.9,4.78,4.17,5.3,1.03,8.36,6.99,8.71,7.14,9.04,10.42,8.98,6.56,3.44,8.78,9.86,11.68,5.88,16.05,3.08,12.31,11.15,13.86,7.19,10.44,7.22,18.53,13.98,3.02,8.91,3.64,5.03,6.24,5.72,6.7,12.29,11.66,8.08,10.11,6.82,7.46,7.17,7.62,6.99,4.24,11.33,6.34,7.44
201907,0.52,2.63,2.93,-2.12,3.37,13.92,-3.79,3.35,4.91,1.74,2.53,1.93,-3.25,0.73,-1.49,-11.01,0.32,-0.07,-2.51,-1.94,0.54,-1.35,0.88,-2.26,1.5,-0.2,-4.17,-2.11,-11.7,-2.64,-0.88,1.86,0.22,3.62,3.26,5.53,-4.6,0.24,1.45,2.27,0.42,0.44,3.18,3.6,2.03,3.51,2.34,-2.57
201908,-1.3,0.27,2.7,6.19,-11.04,4.55,-7.28,-4.47,1.58,-4.98,-5.19,0.85,-0.54,-5.66,-2.85,-5.47,-2.79,3.2,-12.01,-10.89,-6.25,-4.26,-7.98,4.02,-9.77,5.64,9.18,-6.82,-15.02,-8.86,3.55,0.43,-2.13,-2.13,-10.78,-1.93,-1.3,-4.61,1.79,-6.87,-2.34,-0.12,1.34,-4.9,-4.81,-3.73,-3.73,-2.77
201909,-4.12,1.4,-0.52,1.62,1.95,-8.54,-4.09,0.72,1.75,9.14,1.04,-1.08,-0.46,5.6,1.03,7.41,6.18,6.4,7.16,1.45,6.08,4.75,5.74,2.36,4.5,1.2,-5.41,6.63,-8.25,3.79,3.92,1.3,-2.42,-1.04,3.48,4.75,3.66,2.74,-0.96,0.54,5.36,0.96,-2.49,3.68,0.11,2.91,2.48,2.32
201910,-4.58,-2.17,-0.52,-1.04,8.1,8.02,5.52,2.52,-0.72,-2.18,2.49,2.39,5.29,-0.95,1.42,10.62,3.95,1.87,3.56,-2.91,6.25,4.03,7,-3.79,1.72,-3.79,6.5,-0.73,-11.14,-2.06,-1.39,2.23,-3.38,1.94,0.44,7.53,1.5,-0.3,0.82,1.37,2.45,1.65,-4.27,3.72,3.77,2.88,0.81,2.42
201911,-0.67,3.45,-0.19,-0.59,5.52,4.57,6.38,-0.82,-1.28,4.67,8.17,4.21,5.47,3.82,-0.35,-2.24,4.61,2.12,6.13,-4.35,3.11,8.05,3.15,6.17,11.2,5.52,-2.46,6.02,-9.63,1.26,-2.07,1.75,1.24,5.07,-0.12,5.96,4.97,3.6,1.79,2.75,4.41,2.06,2.82,5,6.37,7.84,7.1,4.26
201912,11.14,2.96,3.97,1.38,3.22,-2.43,4.91,3.25,2.65,7.68,3.17,1.46,3.95,1.35,3.07,-3.42,2.36,-2.58,0.71,10.93,3.84,2.16,7.34,-5.31,0.69,-0.31,15.38,8.28,0.5,6.35,3.94,1.23,3.19,1.77,3.62,7.36,3.73,2.74,0.58,-0.24,2.39,1.21,2.59,3.21,2.21,4.66,0.73,2.23
202001,-3.31,-1.32,5.19,2.66,-3.66,-3.8,0.82,-4.33,0.43,-5.4,0.51,-0.44,-2.42,-9.04,-3.07,-4.58,-1.29,5.74,-15.35,-7.57,-4.98,-2.9,8.95,0.16,-1.51,9.71,0.84,-9.02,-22.85,-11.99,4.96,-2.08,-1.83,4.9,-1.81,2.31,-3.79,-6.05,-0.95,-0.48,-2.9,1.17,0.91,-3.41,-2.43,-1.4,2.72,0.27
202002,-6.11,-9.36,-8.23,-7.43,-6.71,-16.28,-3.59,-6.71,-8.48,-9.36,-5.07,-8.47,-4.74,-10.12,-8.17,-8.16,-8.39,-8.53,-10.47,-10.58,-5.4,-5.51,-6.4,-12.1,-12.15,-12.11,-3.59,-12.11,-8.72,-15.44,-9.87,-5.94,-7.31,-5.53,-11.52,-8.92,-7.63,-7.44,-7.21,-10.96,-9.38,-6.16,-9.02,-11.4,-8.78,-9.83,-10.53,-8.25
202003,-11.11,-4.37,-15.4,-9.88,-6.75,-19.14,-16.11,-22.66,-6.84,-18.53,-18.62,-11.1,-2.47,-18.37,-9.34,-35.96,-25.54,-31.83,-22.2,-32.5,-17.48,-18.37,-24.04,-35.87,-21.54,-8.42,-1.24,-18.95,-40.8,-34.8,-12.99,-13.39,-26.09,-11.36,-7.4,-8.93,-9.66,-9.79,-9.68,-16.47,-17.86,-4.43,-21.67,-23.48,-13.42,-34.8,-16.95,-14.02
202004,9.57,8.38,4.78,11.01,1.97,19.59,14.69,8.4,10.32,10.56,15.62,12.6,13.09,18.43,18.38,13.15,13.33,21.52,11.74,10.63,9.77,12.02,28.48,6.92,11.6,13.71,32.07,12.31,17.84,32.87,4.92,9.64,9.5,16.17,9.16,14.81,15.05,10.49,7.69,8.52,12.68,18.64,18.43,11.37,11.11,13.31,13.83,2.66
202005,5.1,3.63,4.06,1.01,-1.2,0.56,3.28,11.71,2.24,11.63,4.46,4.69,3.66,8.97,10.32,8.12,11.35,14.63,5.82,3.98,7.05,7.46,9.38,5.14,8.3,1.03,0.24,4.72,2.58,0.55,4.57,4.86,4.85,7.96,10.78,7.86,8.06,2.85,3.09,7.99,8.13,4.26,2.29,3.07,4.26,6.38,5.92,0.53
202006,-2.56,-0.4,-3.27,0.32,-0.72,8.87,2.58,1.31,2.01,2.62,-3.13,-2.41,-1.57,1.38,3.65,5.7,5.12,2.05,4.63,13.79,4.7,4.45,15.81,7.01,-4.69,-3.84,5.16,11.52,-6.58,-0.32,-5.05,-2.44,-2.03,5.19,-0.78,9.09,1.94,0.97,-0.81,1.41,1.06,5.44,-2.28,-0.31,-1.32,4.35,0.6,-2.19
